"site_id","sample_id","site_code","day","month","year","date","latitude","longitude","waterbody_name","waterbody_type","state","river_type","dipt_spp_rich","dipt_fam_rich","dipt_abund","vec_rich","vec_fam_rich","vec_abund","flow_m3.s","velocity_m.s","suspended_solids_mg.l","pH","temperature_C","oxygen_dissolved_mg.l","oxygen_saturation","BOD7_mg.l","ChDS_Cr_mg.l","NH4_N_mg.l","NO2_N_mg.l","NO3_N_mg.l","mineral_N_mg.l","total_N_mg.l","PO4_P_mg.l","total_P_mg.l","electrical_conductivity_mikroS.cm","alkalinity_mmol.l","Arable.land_2018_100m","Artificial..non.agricultural.vegetated.areas_2018_100m","Forests_2018_100m","Heterogeneous.agricultural.areas_2018_100m","Industrial..commercial.and.transport.units_2018_100m","Inland.waters_2018_100m","Inland.wetlands_2018_100m","Mine..dump.and.construction.sites_2018_100m","Open.spaces.with.little.or.no.vegetation_2018_100m","Pastures_2018_100m","Permanent.crops_2018_100m","Scrub.and.or.herbaceous.vegetation.associations_2018_100m","Urban.fabric_2018_100m"
"LTR1011","LTR1011_3.10.2016","LTR1011_2016",3,10,2016,"2016-10-03",56.2103,24.4007,"Lielupe","river","HM",1,4,4,21,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1013","LTR1013_1.9.2010","LTR1013_2010",1,9,2010,"2010-09-01",56.16635395,24.75789643,"Lielupe","river","N",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1013","LTR1013_8.10.2013","LTR1013_2013",8,10,2013,"2013-10-08",56.16635395,24.75789643,"Lielupe","river","N",1,3,3,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1013","LTR1013_28.9.2016","LTR1013_2016",28,9,2016,"2016-09-28",56.16635395,24.75789643,"Lielupe","river","N",1,1,1,38,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1013","LTR1013_2.10.2019","LTR1013_2019",2,10,2019,"2019-10-02",56.16635395,24.75789643,"Lielupe","river","N",1,1,1,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1013","LTR1013_5.10.2022","LTR1013_2022",5,10,2022,"2022-10-05",56.16635395,24.75789643,"Lielupe","river","N",1,4,3,62,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1019","LTR1019_4.10.2012","LTR1019_2012",4,10,2012,"2012-10-04",55.93959493,24.5620452,"Lielupe","river","HM",1,6,6,102,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1019","LTR1019_1.10.2015","LTR1019_2015",1,10,2015,"2015-10-01",55.93959493,24.5620452,"Lielupe","river","HM",1,3,3,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1019","LTR1019_1.10.2019","LTR1019_2019",1,10,2019,"2019-10-01",55.93959493,24.5620452,"Lielupe","river","HM",1,1,1,32,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1019","LTR1019_3.10.2022","LTR1019_2022",3,10,2022,"2022-10-03",55.93959493,24.5620452,"Lielupe","river","HM",1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1021","LTR1021_9.10.2012","LTR1021_2012",9,10,2012,"2012-10-09",55.63720277,24.47654378,"Nemunas","river","HM",1,1,1,34,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1021","LTR1021_4.10.2016","LTR1021_2016",4,10,2016,"2016-10-04",55.63720277,24.47654378,"Nemunas","river","HM",1,2,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1021","LTR1021_26.9.2019","LTR1021_2019",26,9,2019,"2019-09-26",55.63720277,24.47654378,"Nemunas","river","HM",1,1,1,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1021","LTR1021_20.9.2022","LTR1021_2022",20,9,2022,"2022-09-20",55.63720277,24.47654378,"Nemunas","river","HM",1,2,2,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1023","LTR1023_4.10.2010","LTR1023_2010",4,10,2010,"2010-10-04",56.03310465,25.43850925,"Lielupe","river","N",1,3,3,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"LTR1023","LTR1023_7.10.2013","LTR1023_2013",7,10,2013,"2013-10-07",56.03310465,25.43850925,"Lielupe","river","N",1,2,2,50,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"LTR1023","LTR1023_27.9.2016","LTR1023_2016",27,9,2016,"2016-09-27",56.03310465,25.43850925,"Lielupe","river","HM",1,3,3,5,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"LTR1023","LTR1023_25.9.2019","LTR1023_2019",25,9,2019,"2019-09-25",56.03310465,25.43850925,"Lielupe","river","HM",1,6,4,1461,2,2,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"LTR1023","LTR1023_4.10.2022","LTR1023_2022",4,10,2022,"2022-10-04",56.03310465,25.43850925,"Lielupe","river","HM",1,2,2,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0.25,0.25,0,0,0,0,0,0,0,0,0
"LTR1027","LTR1027_11.10.2017","LTR1027_2017",11,10,2017,"2017-10-11",56.03761878,25.61537655,"Lielupe","river","N",1,3,3,5,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
"LTR1027","LTR1027_4.10.2022","LTR1027_2022",4,10,2022,"2022-10-04",56.03761878,25.61537655,"Lielupe","river","N",1,2,1,9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
"LTR1032","LTR1032_8.10.2012","LTR1032_2012",8,10,2012,"2012-10-08",55.81068041,25.07461812,"Lielupe","river","N",1,3,2,42,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1032","LTR1032_6.10.2015","LTR1032_2015",6,10,2015,"2015-10-06",55.81068041,25.07461812,"Lielupe","river","N",1,5,5,20,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1037","LTR1037_10.10.2012","LTR1037_2012",10,10,2012,"2012-10-10",55.5299,24.281,"Nemunas","river","HM",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1037","LTR1037_8.10.2015","LTR1037_2015",8,10,2015,"2015-10-08",55.5299,24.281,"Nemunas","river","HM",1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1037","LTR1037_4.10.2018","LTR1037_2018",4,10,2018,"2018-10-04",55.5299,24.281,"Nemunas","river","HM",1,3,3,27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1037","LTR1037_29.9.2021","LTR1037_2021",29,9,2021,"2021-09-29",55.5299,24.281,"Nemunas","river","HM",1,2,1,19,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1038","LTR1038_30.9.2015","LTR1038_2015",30,9,2015,"2015-09-30",55.46640083,24.14780428,"Nemunas","river","HM",1,3,2,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5
"LTR1043","LTR1043_30.9.2010","LTR1043_2010",30,9,2010,"2010-09-30",56.08240854,24.64071218,"Lielupe","river","HM",1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1043","LTR1043_26.9.2013","LTR1043_2013",26,9,2013,"2013-09-26",56.08240854,24.64071218,"Lielupe","river","HM",1,1,1,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1043","LTR1043_1.10.2015","LTR1043_2015",1,10,2015,"2015-10-01",56.08240854,24.64071218,"Lielupe","river","HM",1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1043","LTR1043_3.10.2019","LTR1043_2019",3,10,2019,"2019-10-03",56.08240854,24.64071218,"Lielupe","river","HM",1,1,1,16,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1043","LTR1043_3.10.2022","LTR1043_2022",3,10,2022,"2022-10-03",56.08240854,24.64071218,"Lielupe","river","HM",1,2,1,12,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.333333333333333,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1044","LTR1044_3.10.2012","LTR1044_2012",3,10,2012,"2012-10-03",55.98725264,24.75072286,"Lielupe","river","HM",1,4,4,56,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1044","LTR1044_28.9.2016","LTR1044_2016",28,9,2016,"2016-09-28",55.98725264,24.75072286,"Lielupe","river","HM",1,3,3,32,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1044","LTR1044_2.10.2019","LTR1044_2019",2,10,2019,"2019-10-02",55.98725264,24.75072286,"Lielupe","river","HM",1,2,2,43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1044","LTR1044_6.10.2022","LTR1044_2022",6,10,2022,"2022-10-06",55.98725264,24.75072286,"Lielupe","river","HM",1,2,2,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1049","LTR1049_8.10.2012","LTR1049_2012",8,10,2012,"2012-10-08",55.9857,25.0871,"Lielupe","river","HM",1,1,1,39,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1049","LTR1049_6.10.2015","LTR1049_2015",6,10,2015,"2015-10-06",55.9857,25.0871,"Lielupe","river","HM",1,2,2,20,1,1,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1049","LTR1049_3.10.2018","LTR1049_2018",3,10,2018,"2018-10-03",55.9857,25.0871,"Lielupe","river","HM",1,3,3,64,1,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR1049","LTR1049_7.10.2021","LTR1049_2021",7,10,2021,"2021-10-07",55.9857,25.0871,"Lielupe","river","HM",1,2,2,13,1,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0
"LTR105","LTR105_27.9.2010","LTR105_2010",27,9,2010,"2010-09-27",55.2845,26.7849,"Dauguva","river","N",2,2,2,57,1,1,33,5.26222222222222,0.313333333333333,7.825,7.83583333333333,10.0666666666667,7.58333333333333,66.6260909090909,2.59166666666667,NA,0.0665,0.0163333333333333,0.798333333333333,0.881166666666667,2.12166666666667,0.0542083333333333,0.0883333333333333,399.166666666667,3.4,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_27.9.2011","LTR105_2011",27,9,2011,"2011-09-27",55.2845,26.7849,"Dauguva","river","N",2,3,3,17,2,2,3,4.00125,0.33075,9.775,7.75,9.95833333333333,9.40833333333333,83.6805,2.37416666666667,21.5714285714286,0.0800833333333333,0.00866666666666667,0.57325,0.662,1.63333333333333,0.0374166666666667,0.0739166666666667,417.5,3.75833333333333,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_26.9.2012","LTR105_2012",26,9,2012,"2012-09-26",55.2845,26.7849,"Dauguva","river","N",2,3,3,19,1,1,1,3.26777777777778,0.287666666666667,5.63333333333333,7.975,9.33333333333333,11.0666666666667,104.2535,2.71833333333333,27.4166666666667,0.0456666666666667,0.00616666666666667,0.45275,0.504583333333333,1.125,0.0305,0.0663333333333333,448.333333333333,3.792,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_16.9.2013","LTR105_2013",16,9,2013,"2013-09-16",55.2845,26.7849,"Dauguva","river","N",2,4,4,178,0,0,0,3.76575,0.256625,7.11666666666667,7.91666666666667,9.89166666666667,9.65833333333333,74.498375,2.75833333333333,28.3333333333333,0.0500416666666667,0.00666666666666667,0.472166666666667,0.5295,1.17416666666667,0.0298333333333333,0.069,453.916666666667,4.035,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_23.9.2014","LTR105_2014",23,9,2014,"2014-09-23",55.2845,26.7849,"Dauguva","river","N",2,1,1,18,0,0,0,3.202,0.3021,10.7916666666667,7.94166666666667,10.9583333333333,9.2,79.6898333333333,3.09166666666667,30.6583333333333,0.05275,0.0085,0.483,0.54425,0.913333333333333,0.0330833333333333,0.0786666666666667,420.166666666667,3.74916666666667,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_21.9.2015","LTR105_2015",21,9,2015,"2015-09-21",55.2845,26.7849,"Dauguva","river","N",2,2,2,26,0,0,0,2.21272727272727,0.251818181818182,8.15833333333333,8.2,9.2,9.66666666666667,82.4395,2.55833333333333,27.4166666666667,0.05,0.00633333333333333,0.511166666666667,0.5675,1.34916666666667,0.0160833333333333,0.0615833333333333,434.083333333333,4.24166666666667,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_26.9.2016","LTR105_2016",26,9,2016,"2016-09-26",55.2845,26.7849,"Dauguva","river","N",2,0,0,0,0,0,0,2.69916666666667,0.2575,10.5666666666667,8.025,9.83333333333333,9.425,80.18575,2.55833333333333,24.5,0.0591666666666667,0.0075,0.699916666666667,0.766583333333333,1.5375,0.0195,0.0685833333333333,435.083333333333,3.86666666666667,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_25.10.2017","LTR105_2017",25,10,2017,"2017-10-25",55.2845,26.7849,"Dauguva","river","N",2,4,2,140,2,1,133,9.96916666666667,0.361666666666667,11.2083333333333,8.175,8.675,9.03333333333333,74.6895833333333,2.775,29,0.0983333333333333,0.00983333333333333,1.07916666666667,1.18733333333333,2.2,0.0299166666666667,0.0846666666666667,400.833333333333,3.94166666666667,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR105","LTR105_22.9.2020","LTR105_2020",22,9,2020,"2020-09-22",55.2845,26.7849,"Dauguva","river","N",2,2,2,37,1,1,15,3.71909090909091,0.278181818181818,16.65,8.13333333333333,10.7083333333333,9.65833333333333,83.72775,3.1,30.1666666666667,0.0841666666666667,0.0121666666666667,0.791666666666667,0.888,1.65083333333333,0.0273333333333333,0.0906666666666667,437.583333333333,3.875,0,0,0,0.75,0,0,0,0,0,0.25,0,0,0
"LTR1054","LTR1054_28.9.2012","LTR1054_2012",28,9,2012,"2012-09-28",54.50745363,23.11313414,"Nemunas","river","N",1,2,2,134,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1054","LTR1054_4.10.2016","LTR1054_2016",4,10,2016,"2016-10-04",54.50745363,23.11313414,"Nemunas","river","HM",1,2,1,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1054","LTR1054_7.10.2019","LTR1054_2019",7,10,2019,"2019-10-07",54.50745363,23.11313414,"Nemunas","river","HM",1,6,6,157,1,1,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1054","LTR1054_6.10.2022","LTR1054_2022",6,10,2022,"2022-10-06",54.50745363,23.11313414,"Nemunas","river","HM",1,5,3,65,1,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR106","LTR106_25.9.2012","LTR106_2012",25,9,2012,"2012-09-25",55.7421,26.299,"Dauguva","river","N",3,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"LTR106","LTR106_21.9.2016","LTR106_2016",21,9,2016,"2016-09-21",55.7421,26.299,"Dauguva","river","N",3,3,3,451,1,1,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"LTR106","LTR106_19.9.2019","LTR106_2019",19,9,2019,"2019-09-19",55.7421,26.299,"Dauguva","river","N",3,2,2,56,1,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"LTR106","LTR106_28.9.2023","LTR106_2023",28,9,2023,"2023-09-28",55.7421,26.299,"Dauguva","river","N",3,11,7,38,1,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0
"LTR1063","LTR1063_2.10.2017","LTR1063_2017",2,10,2017,"2017-10-02",54.8796,22.9934,"Nemunas","river","N",1,2,1,370,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1063","LTR1063_7.10.2021","LTR1063_2021",7,10,2021,"2021-10-07",54.8796,22.9934,"Nemunas","river","N",1,2,2,323,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1
"LTR1070","LTR1070_16.9.2010","LTR1070_2010",16,9,2010,"2010-09-16",54.51384723,22.96784305,"Nemunas","river","N",1,1,1,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
"LTR1070","LTR1070_11.10.2013","LTR1070_2013",11,10,2013,"2013-10-11",54.51384723,22.96784305,"Nemunas","river","N",1,2,2,14,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
